Fra_dato;Til_dato;Maengde;Maaleenhed
16-05-2020 01:00:00;16-05-2020 02:00:00;0;KWH
16-05-2020 02:00:00;16-05-2020 03:00:00;0;KWH
16-05-2020 03:00:00;16-05-2020 04:00:00;0;KWH
16-05-2020 04:00:00;16-05-2020 05:00:00;0;KWH
16-05-2020 05:00:00;16-05-2020 06:00:00;0;KWH
16-05-2020 06:00:00;16-05-2020 07:00:00;0.128;KWH
16-05-2020 07:00:00;16-05-2020 08:00:00;0.462;KWH
16-05-2020 08:00:00;16-05-2020 09:00:00;0.643;KWH
16-05-2020 09:00:00;16-05-2020 10:00:00;1.079;KWH
16-05-2020 10:00:00;16-05-2020 11:00:00;1.614;KWH
16-05-2020 11:00:00;16-05-2020 12:00:00;1.048;KWH
16-05-2020 12:00:00;16-05-2020 13:00:00;1.796;KWH
16-05-2020 13:00:00;16-05-2020 14:00:00;0.916;KWH
16-05-2020 14:00:00;16-05-2020 15:00:00;1.089;KWH
16-05-2020 15:00:00;16-05-2020 16:00:00;1.403;KWH
16-05-2020 16:00:00;16-05-2020 17:00:00;1.066;KWH
16-05-2020 17:00:00;16-05-2020 18:00:00;1.017;KWH
16-05-2020 18:00:00;16-05-2020 19:00:00;0.52;KWH
16-05-2020 19:00:00;16-05-2020 20:00:00;0.102;KWH
16-05-2020 20:00:00;16-05-2020 21:00:00;0.01;KWH
16-05-2020 21:00:00;16-05-2020 22:00:00;0;KWH
16-05-2020 22:00:00;16-05-2020 23:00:00;0;KWH
16-05-2020 23:00:00;17-05-2020 00:00:00;0;KWH
17-05-2020 00:00:00;17-05-2020 01:00:00;0;KWH
17-05-2020 01:00:00;17-05-2020 02:00:00;0;KWH
17-05-2020 02:00:00;17-05-2020 03:00:00;0;KWH
17-05-2020 03:00:00;17-05-2020 04:00:00;0;KWH
17-05-2020 04:00:00;17-05-2020 05:00:00;0;KWH
17-05-2020 05:00:00;17-05-2020 06:00:00;0.013;KWH
17-05-2020 06:00:00;17-05-2020 07:00:00;0.163;KWH
17-05-2020 07:00:00;17-05-2020 08:00:00;0.426;KWH
17-05-2020 08:00:00;17-05-2020 09:00:00;0.616;KWH
17-05-2020 09:00:00;17-05-2020 10:00:00;0.821;KWH
17-05-2020 10:00:00;17-05-2020 11:00:00;0.949;KWH
17-05-2020 11:00:00;17-05-2020 12:00:00;1.762;KWH
17-05-2020 12:00:00;17-05-2020 13:00:00;1.481;KWH
17-05-2020 13:00:00;17-05-2020 14:00:00;1.787;KWH
17-05-2020 14:00:00;17-05-2020 15:00:00;1.394;KWH
17-05-2020 15:00:00;17-05-2020 16:00:00;1.454;KWH
17-05-2020 16:00:00;17-05-2020 17:00:00;0.455;KWH
17-05-2020 17:00:00;17-05-2020 18:00:00;0.141;KWH
17-05-2020 18:00:00;17-05-2020 19:00:00;0.259;KWH
17-05-2020 19:00:00;17-05-2020 20:00:00;0.108;KWH
17-05-2020 20:00:00;17-05-2020 21:00:00;0.012;KWH
17-05-2020 21:00:00;17-05-2020 22:00:00;0;KWH
17-05-2020 22:00:00;17-05-2020 23:00:00;0;KWH
17-05-2020 23:00:00;18-05-2020 00:00:00;0;KWH
18-05-2020 00:00:00;18-05-2020 01:00:00;0;KWH
18-05-2020 01:00:00;18-05-2020 02:00:00;0;KWH
18-05-2020 02:00:00;18-05-2020 03:00:00;0;KWH
18-05-2020 03:00:00;18-05-2020 04:00:00;0;KWH
18-05-2020 04:00:00;18-05-2020 05:00:00;0;KWH
18-05-2020 05:00:00;18-05-2020 06:00:00;0.002;KWH
18-05-2020 06:00:00;18-05-2020 07:00:00;0.001;KWH
18-05-2020 07:00:00;18-05-2020 08:00:00;0.214;KWH
18-05-2020 08:00:00;18-05-2020 09:00:00;0.515;KWH
