Fra_dato;Til_dato;Maengde;Maaleenhed
16-05-2020 11:00:00;16-05-2020 12:00:00;0.044;KWH
16-05-2020 12:00:00;16-05-2020 13:00:00;0.058;KWH
16-05-2020 13:00:00;16-05-2020 14:00:00;0.082;KWH
16-05-2020 14:00:00;16-05-2020 15:00:00;0.149;KWH
16-05-2020 15:00:00;16-05-2020 16:00:00;0.062;KWH
16-05-2020 16:00:00;16-05-2020 17:00:00;0.098;KWH
16-05-2020 17:00:00;16-05-2020 18:00:00;0.112;KWH
16-05-2020 18:00:00;16-05-2020 19:00:00;0.749;KWH
16-05-2020 19:00:00;16-05-2020 20:00:00;0.573;KWH
16-05-2020 20:00:00;16-05-2020 21:00:00;0.124;KWH
16-05-2020 21:00:00;16-05-2020 22:00:00;0.136;KWH
16-05-2020 22:00:00;16-05-2020 23:00:00;0.14;KWH
16-05-2020 23:00:00;17-05-2020 00:00:00;0.127;KWH
17-05-2020 00:00:00;17-05-2020 01:00:00;0.124;KWH
17-05-2020 01:00:00;17-05-2020 02:00:00;0.195;KWH
17-05-2020 02:00:00;17-05-2020 03:00:00;0.111;KWH
17-05-2020 03:00:00;17-05-2020 04:00:00;0.106;KWH
17-05-2020 04:00:00;17-05-2020 05:00:00;0.11;KWH
17-05-2020 05:00:00;17-05-2020 06:00:00;0.096;KWH
17-05-2020 06:00:00;17-05-2020 07:00:00;0.843;KWH
17-05-2020 07:00:00;17-05-2020 08:00:00;0.058;KWH
17-05-2020 08:00:00;17-05-2020 09:00:00;0.09;KWH
17-05-2020 09:00:00;17-05-2020 10:00:00;0.16;KWH
17-05-2020 10:00:00;17-05-2020 11:00:00;0.058;KWH
17-05-2020 11:00:00;17-05-2020 12:00:00;0.074;KWH
17-05-2020 12:00:00;17-05-2020 13:00:00;0.06;KWH
17-05-2020 13:00:00;17-05-2020 14:00:00;0.047;KWH
17-05-2020 14:00:00;17-05-2020 15:00:00;0.061;KWH
17-05-2020 15:00:00;17-05-2020 16:00:00;0.053;KWH
17-05-2020 16:00:00;17-05-2020 17:00:00;0.173;KWH
17-05-2020 17:00:00;17-05-2020 18:00:00;0.204;KWH
